model_id,model_name,lower_diameter_mm,upper_diameter_mm,burden_at_lower_endpoint_m,reference_diameter_mm,reference_burden_m,burden_at_upper_endpoint_m,endpoint_change_m,endpoint_change_percent,burden_range_m
CONV_ASH,Ash,181.0,311.0,4.5249999999999995,251.0,6.275,7.775,3.250000000000001,71.82320441988954,3.250000000000001
CONV_BHANDARI,Bhandari,181.0,311.0,5.193999999999999,251.0,6.874,8.314,3.120000000000001,60.06931074316522,3.120000000000001
CONV_JIMENO,Lopez Jimeno,181.0,311.0,4.163,251.0,5.773,7.153,2.9899999999999993,71.82320441988949,2.9899999999999993
CONV_KONYA_1972,Konya 1972,181.0,311.0,3.9858389424621614,251.0,5.5273236163425565,6.848596193954322,2.86275725149216,71.8232044198895,2.86275725149216
CONV_KONYA_1983,Konya 1983,181.0,311.0,4.102942791762013,251.0,5.689716247139588,7.049807780320366,2.946864988558353,71.82320441988954,2.946864988558353
CONV_RUSTAN,Rustan,181.0,311.0,5.574669346794413,251.0,6.983188559264405,8.094508489881573,2.51983914308716,45.201589302083654,2.51983914308716
CONV_TATIYA,Tatiya–Al-Ajmi,181.0,311.0,4.6885699999999995,251.0,5.839369999999999,6.5917699999999995,1.9032,40.59233412319748,1.9032
