explosive_density_g_cm3,explosive_to_rock_density_ratio,model_count,mean_burden_m,median_burden_m,minimum_burden_m,maximum_burden_m,range_m
0.7,0.16018306636155605,7,6.058826846631921,5.839369999999999,5.184286575397026,6.983188559264405,1.7989019838673785
0.75,0.17162471395881007,7,6.085728622207088,5.839369999999999,5.3036745192973465,6.983188559264405,1.6795140399670583
0.8,0.18306636155606407,7,6.111884630212761,5.839369999999999,5.41784209021119,6.983188559264405,1.5653464690532148
0.85,0.19450800915331806,7,6.137371203249507,5.839369999999999,5.5273236163425565,6.983188559264405,1.4558649429218482
0.9,0.20594965675057209,7,6.162252899548617,5.839369999999999,5.632571005310469,6.983188559264405,1.3506175539539358
0.95,0.21739130434782608,7,6.186584863837703,5.839369999999999,5.733970270208208,6.983188559264405,1.2492182890561967
1.0,0.22883295194508008,7,6.2104146168824546,5.896489702517162,5.773,6.983188559264405,1.210188559264405
