ucs_mpa,model_count,mean_burden_m,median_burden_m,minimum_burden_m,maximum_burden_m,range_m
40.0,7,6.474012631820935,6.874,5.5273236163425565,7.0280000000000005,1.500676383657444
54.999,7,6.474012631820935,6.874,5.5273236163425565,7.0280000000000005,1.500676383657444
55.0,7,6.316656917535221,6.275,5.5273236163425565,7.0280000000000005,1.500676383657444
69.999,7,6.316656917535221,6.275,5.5273236163425565,7.0280000000000005,1.500676383657444
70.0,7,6.137371203249507,5.839369999999999,5.5273236163425565,6.983188559264405,1.4558649429218482
85.0,7,6.137371203249507,5.839369999999999,5.5273236163425565,6.983188559264405,1.4558649429218482
110.0,7,6.137371203249507,5.839369999999999,5.5273236163425565,6.983188559264405,1.4558649429218482
110.001,7,6.030186917535221,5.773,5.08908,6.983188559264405,1.8941085592644047
180.0,7,6.030186917535221,5.773,5.08908,6.983188559264405,1.8941085592644047
180.001,7,5.958472631820935,5.689716247139588,5.08908,6.983188559264405,1.8941085592644047
220.0,7,5.958472631820935,5.689716247139588,5.08908,6.983188559264405,1.8941085592644047
